Date,Open,High,Low,Close,Adj Close,Volume
2017-10-02,45.049999,45.270000,44.750000,44.799999,44.046867,10707800
2017-10-03,44.860001,45.259998,44.759998,45.189999,44.430313,12038100
2017-10-04,45.110001,45.560001,44.939999,45.500000,44.735104,14060300
2017-10-05,45.509998,45.750000,45.500000,45.520000,44.754765,10215300
2017-10-06,45.389999,45.520000,45.279999,45.490002,44.725269,5437900
2017-10-09,45.549999,45.650002,45.340000,45.410000,44.646614,5268300
2017-10-10,45.599998,45.900002,45.529999,45.869999,45.098881,6310400
2017-10-11,45.880001,46.099998,45.869999,46.099998,45.325012,6638200
2017-10-12,45.980000,46.139999,45.939999,46.110001,45.334846,7710200
2017-10-13,46.250000,46.380001,46.150002,46.180000,45.403667,7126000
2017-10-16,46.119999,46.750000,46.099998,46.619999,45.836269,12708600
2017-10-17,46.529999,46.630001,46.310001,46.520000,45.737953,7699400
2017-10-18,46.410000,46.540001,46.240002,46.400002,45.619972,6272200
2017-10-19,46.369999,46.790001,46.320000,46.590000,45.806778,7515500
2017-10-20,46.580002,46.590000,46.279999,46.380001,45.600307,9646800
2017-10-23,46.380001,46.650002,46.230000,46.320000,45.541317,7153600
2017-10-24,46.259998,46.290001,45.950001,46.180000,45.403667,9539500
2017-10-25,46.369999,46.759998,45.930000,46.049999,45.275852,11994200
2017-10-26,46.320000,46.750000,46.220001,46.230000,45.452831,10569100
2017-10-27,46.130001,46.330002,45.910000,46.070000,45.295521,9988000
2017-10-30,46.000000,46.070000,45.820000,45.860001,45.089046,7201900
2017-10-31,45.919998,46.169998,45.840000,45.980000,45.207031,6560500
2017-11-01,45.750000,46.090000,45.630001,45.799999,45.030056,7067600
2017-11-02,45.810001,45.950001,45.750000,45.880001,45.108715,8317800
2017-11-03,45.970001,46.160000,45.919998,45.970001,45.197201,4730400
2017-11-06,45.910000,45.919998,45.419998,45.470001,44.705608,7451300
2017-11-07,45.410000,45.950001,45.310001,45.939999,45.167702,9868000
2017-11-08,45.980000,46.189999,45.869999,46.180000,45.403667,7586900
2017-11-09,46.119999,46.389999,46.020000,46.230000,45.452831,6532400
2017-11-10,46.200001,46.639999,46.139999,46.540001,45.757618,8022900
2017-11-13,46.599998,46.820000,46.540001,46.720001,45.934593,7653600
2017-11-14,46.709999,47.480000,46.619999,47.430000,46.632656,17200700
2017-11-15,47.320000,47.459999,46.779999,46.810001,46.023079,12419100
2017-11-16,46.950001,46.980000,46.509998,46.549999,45.767448,12506400
2017-11-17,46.340000,46.380001,45.250000,45.709999,44.941570,19720700
