Date,Open,High,Low,Close,Adj Close,Volume
2017-10-02,24.219999,24.610001,24.100000,24.570000,24.201235,42501200
2017-10-03,24.610001,24.830000,24.330000,24.799999,24.427782,33907500
2017-10-04,24.879999,24.889999,24.430000,24.480000,24.112583,32149400
2017-10-05,24.389999,24.570000,24.150000,24.540001,24.171686,34758900
2017-10-06,24.410000,24.540001,24.129999,24.389999,24.023935,40729800
2017-10-09,24.100000,24.150000,23.250000,23.430000,23.078344,140302800
2017-10-10,23.700001,23.860001,23.320000,23.360001,23.009396,80571100
2017-10-11,23.129999,23.270000,22.900000,23.070000,22.723745,81172900
2017-10-12,23.049999,23.090000,22.830000,23.049999,22.704046,59948700
2017-10-13,23.150000,23.230000,22.959999,22.980000,22.635098,40391800
2017-10-16,22.990000,23.480000,22.930000,23.360001,23.009396,49757800
2017-10-17,23.219999,23.250000,23.000000,23.190001,22.841946,58639100
2017-10-18,23.200001,23.280001,23.070000,23.120001,22.772999,34970700
2017-10-19,23.139999,23.780001,23.049999,23.580000,23.226093,75574100
2017-10-20,22.139999,23.840000,22.100000,23.830000,23.472340,192404400
2017-10-23,23.440001,23.440001,22.180000,22.320000,21.985004,187340900
2017-10-24,22.120001,22.309999,21.750000,21.889999,21.561457,133615900
2017-10-25,21.840000,21.889999,21.299999,21.500000,21.177311,110518200
2017-10-26,21.570000,21.650000,21.200001,21.320000,21.000011,86283700
2017-10-27,21.260000,21.299999,20.639999,20.790001,20.477968,98534600
2017-10-30,20.620001,20.719999,20.260000,20.410000,20.103670,98385500
2017-10-31,20.260000,20.400000,20.049999,20.160000,19.857422,98007100
2017-11-01,20.070000,20.520000,19.959999,20.020000,19.719524,91714400
2017-11-02,20.049999,20.080000,19.629999,19.940001,19.640724,81531700
2017-11-03,19.920000,20.330000,19.860001,20.139999,19.837723,67861000
2017-11-06,20.520000,20.530001,20.080000,20.129999,19.827871,60679500
2017-11-07,20.170000,20.250000,20.120001,20.209999,19.906672,41661200
2017-11-08,20.209999,20.320000,20.070000,20.120001,19.818024,39682500
2017-11-09,20.040001,20.070000,19.850000,19.990000,19.689974,50850500
2017-11-10,19.980000,20.680000,19.900000,20.490000,20.182470,100732900
2017-11-13,20.260000,20.750000,18.750000,19.020000,18.734533,261557400
2017-11-14,18.790001,18.879999,17.459999,17.900000,17.631342,312556800
2017-11-15,17.510000,18.379999,17.500000,18.260000,17.985939,144368000
2017-11-16,18.480000,18.480000,18.049999,18.250000,17.976089,89376600
2017-11-17,18.340000,18.469999,18.209999,18.209999,17.936689,60457200
2017-11-20,17.950001,18.129999,17.830000,17.980000,17.710142,63934100
2017-11-21,17.950001,18.070000,17.700001,17.830000,17.562393,77918900
2017-11-22,18.150000,18.250000,17.840000,18.150000,17.877588,54846800
