Date,Open,High,Low,Close,Adj Close,Volume
2017-10-02,52.160000,52.209999,51.660000,51.869999,51.542397,7516200
2017-10-03,52.000000,52.049999,51.400002,51.470001,51.144924,8126700
2017-10-04,51.509998,52.130001,51.400002,52.080002,51.751072,8204300
2017-10-05,52.009998,52.320000,51.779999,52.180000,51.850441,5287400
2017-10-06,52.200001,52.459999,52.119999,52.419998,52.088921,5360300
2017-10-09,52.230000,52.299999,51.500000,51.520000,51.194607,6875100
2017-10-10,51.580002,51.820000,51.369999,51.529999,51.204544,8372700
2017-10-11,51.389999,51.520000,50.830002,51.029999,50.707703,9109600
2017-10-12,50.980000,51.119999,50.349998,50.830002,50.508968,10658400
2017-10-13,50.830002,51.070000,50.400002,50.980000,50.658016,16227900
2017-10-16,50.799999,51.410000,50.639999,51.369999,51.045551,9299300
2017-10-17,51.500000,52.040001,51.380001,52.000000,51.671577,9492700
2017-10-18,52.180000,52.400002,52.099998,52.299999,51.969677,10890300
2017-10-19,51.660000,52.799999,51.480000,52.689999,52.357216,12568200
2017-10-20,52.790001,53.500000,52.790001,53.060001,52.724880,13020900
2017-10-23,53.060001,53.950001,53.000000,53.660000,53.321091,12242600
2017-10-24,53.900002,54.000000,53.099998,53.419998,53.082607,14767600
2017-10-25,53.430000,55.910000,52.669998,54.939999,54.593006,24804000
2017-10-26,55.259998,57.250000,55.139999,56.810001,56.451199,22185100
2017-10-27,55.820000,56.360001,55.650002,55.959999,55.606564,12801800
2017-10-30,55.709999,55.930000,54.840000,55.270000,54.920921,10169400
2017-10-31,54.750000,55.279999,54.520000,54.990002,54.642693,9794800
2017-11-01,55.419998,55.500000,54.849998,55.070000,54.722187,7544500
2017-11-02,55.150002,55.320000,54.590000,55.119999,54.771866,7250300
2017-11-03,55.150002,55.720001,55.040001,55.709999,55.358143,9448200
2017-11-06,55.290001,56.130001,55.139999,56.040001,55.686058,9332200
2017-11-07,55.750000,56.020000,55.020000,55.150002,54.801682,7774700
2017-11-08,55.000000,55.770000,54.889999,55.759998,55.407825,7079400
2017-11-09,55.500000,56.349998,55.310001,56.130001,55.775490,10958500
2017-11-10,55.880001,56.490002,55.619999,56.090000,55.735744,7535700
2017-11-13,55.660000,56.090000,55.660000,55.910000,55.556881,10106100
2017-11-14,55.709999,56.180000,55.529999,55.980000,55.626438,5037500
2017-11-15,55.959999,56.869999,55.080002,56.630001,56.272335,6610500
2017-11-16,56.619999,57.279999,56.410000,57.230000,56.868546,8233300
2017-11-17,58.540001,59.529999,58.369999,59.189999,58.816162,15475500
2017-11-20,58.630001,59.500000,57.980000,59.250000,58.875786,8480600
2017-11-21,59.029999,59.400002,58.930000,59.389999,59.014900,9057800
2017-11-22,59.180000,59.340000,58.939999,59.070000,58.696922,8501300
2017-11-24,59.000000,59.349998,58.910000,59.320000,58.945343,3400400
2017-11-27,59.200001,59.700001,59.169998,59.630001,59.253387,7891600
2017-11-28,58.759998,59.599998,58.540001,59.580002,59.203701,8665300
2017-11-29,59.730000,60.630001,59.730000,60.360001,59.978779,12022800
2017-11-30,60.259998,61.209999,60.200001,60.419998,60.038391,12551200
2017-12-01,60.419998,60.430000,59.240002,59.880001,59.699421,10113500
2017-12-04,60.270000,60.700001,59.970001,60.099998,59.918755,7513200
2017-12-05,60.650002,60.799999,59.650002,60.419998,60.237789,8862900
2017-12-06,60.410000,60.849998,59.700001,59.720001,59.539906,7862200
2017-12-07,59.860001,61.060001,59.650002,60.599998,60.417248,6113300
